name,facility_type,address,phone,monthly_fee_min,monthly_fee_max,image,capacity,room_type,care_level,services,features,cost_score,medical_score,facility_score,website_url
グループホームちいさな手・横浜こうなん,グループホーム,神奈川県横浜市港南区最戸１丁目２３ー２３ 笠原ビル,0453258780,"177,000",,https://shafuku-doujinkai.or.jp/facility/nursing-home/shinisogo-home,27名,個室,要支援2〜要介護5,介護,可愛らしい外観と内装が特徴です。また、駐車スペースも広く、花壇と畑も完備されていて園芸には最適です。,2.5,3,3.8,https://medicalcare-group.com/facility/yokohama-konan/
グループホーム わかたけ西菅田,グループホーム,神奈川県横浜市神奈川区菅田町108,0454780700,"149,000",,https://wakatake.net/wp-content/uploads/2020/07/img13@2x-498x350-1.jpg,18名,個室,要支援2〜要介護5,介護,お一人おひとりのライフスタイルやペースを大事に、ゆったり暮らせます。食事は好きなメニューを皆で作ります。たまに外食や出前の楽しみ、飲酒もできます。,3.7,2,4.5,https://wakatake.net/category/facility/groupnisi/
グループホーム華寿園,グループホーム,神奈川県横浜市旭区市沢町５７１ー１,0453510021,"123,000",,https://kajuen.you-wa-kai.or.jp/images/top/top_img01.jpg,18名,個室,要支援2〜要介護5,介護,夜間の防犯目的以外に「鍵」をかけず、自由に出入りができるよう温かく見守ります。,4.3,2,3.4,https://kajuen.you-wa-kai.or.jp/
若草の丘,グループホーム,神奈川県横浜市保土ケ谷区保土ケ谷町３丁目１９２,0453156431,"156,000",,https://shuhokai.or.jp/office/hodogaya-ku/images/gh-wakakusa-img01.jpg,9名,個室,要支援2〜要介護5,介護、訪問診療,保土ヶ谷区の元町自治会内に設立し、自治会や地域の福祉系サービス事業所と連携を取りながら、ご入居者に生活を送って頂いてます。 ケアプラザや自治会の行事には可能な範囲で参加していただいています。,3.5,3.8,4.2,https://shuhokai.or.jp/office/hodogaya-ku/gh-wakakusa.php
グループホーム 和楽の里,グループホーム,神奈川県横浜市緑区北八朔町１２７２ー２,0459374033,"122,000",,https://www.oueikai.or.jp/files/libs/1176/t/202608070926119047.jpg?1786062375,18名,個室,要支援2～要介護5,介護,グループホームでは珍しい、木造平屋造りの建物なのでとても明るく、広々とした空間の中で、２つのユニットの入居者様同士が自由に行き来されのびのびと過ごせる環境です。,4.2,3,3.3,https://www.oueikai.or.jp/pages/29/
グループホーム三ツ沢南の丘,グループホーム,神奈川県横浜市神奈川区三ツ沢南町１３ー３,0452900356,"141,000",,https://img.minnanokaigo.com/shisetsu/22478/pic/816d0cb4-672f-4252-a415-340fd8589772.jpg?w=800&h=600tp://crayonimg.e-shops.jp/cms-dimg/1167456/2892728/460_801.png,,,要支援2〜要介護5,介護、往診,一人一人の自主性や残存能力に目をむけて、その維持及び改善の方向への援助をしていきます。,3.8,3,4.1,http://m-minaminooka.or.jp/
有料老人ホーム 白神,有料老人ホーム,神奈川県横浜市港南区笹下１丁目４ー４３ 有料老人ホーム白神,0458403031,"122,900",,"https://static.wixstatic.com/media/5b9669_bb70467a5f9546758338d09e708cc038‾mv2_d_2304_1728_s_2.png/v1/fill/w_1502,h_540,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/%E7%99%BD%E7%A5%9E.png",42名,個室,自立〜要介護５,介護、訪問診療,共用浴室には、リフト浴を設置、お身体の不自由な方でもご安心いただけます。また、毎日のお食事も、毎月の行事食の提供や、常食からミキサー食まで個々の状態に合わせた提供をしています。,4.3,3.3,3,https://sakura-kai.wixsite.com/sakura-kai/blank-3
住宅型有料老人ホームくるみ,有料老人ホーム,神奈川県横浜市港南区上永谷４丁目６,0453504303,"121,500",,https://full-life.main.jp/kurumi0.png,23名,個室,要介護1〜5,介護,閑静な住宅街の中にあり、地域社会に溶け込める環境で、自宅にいるような感覚で過ごせます。,4.4,2.5,2.5,https://full-life.main.jp/kurumi.html
まどか武蔵新城,有料老人ホーム,神奈川県川崎市高津区千年935,0120171165,"322,800",,https://media.e-nursingcare.com/upload/cd922967-b33b-46a1-866e-4c64edbfd232/C4kSoCTZY62LRVBu4wiPhdrijTSDMZYID2m29jqV.webp,58名,個室,自立〜要介護５,介護、医療,「いつもと同じ」顔なじみの集まる、居心地の良いリビング。安心感がもてる環境作りに努めています。,2.5,3.8,4,https://kaigo.benesse-style-care.co.jp/area_kanagawa/kawasaki/home_m-musashishinjyo
メディカルホームくらら青葉台,有料老人ホーム,神奈川県横浜市青葉区青葉台2-30-1,0459881165,"415,930","464,330",https://media.e-nursingcare.com/upload/686b3c12-f137-477d-9341-f28b3a3086c4/UWYEQf2Nk00syPFo2I86PFanIhlV6gGfdtgpxMy8.webp,77名,個室,自立〜要介護５,介護、医療,フロアごとによる「個別性」と、他フロアとの交流による「社会性」を大切にし、メリハリのあるご生活を送っていただけるようサポート致します。,2,4,4,https://kaigo.benesse-style-care.co.jp/area_kanagawa/yokohama/home_k-aobadai?utm_source=yahoo&utm_medium=cpc&utm_campaign=%5B%E5%AE%9A%E5%B8%B8%5D%E6%A4%9C%E7%B4%A2_%E6%8C%87%E5%90%8D&utm_content=%E3%83%9B%E3%83%BC%E3%83%A0%E5%90%8D%EF%BC%9A%E3%83%A1%E3%83%87%E3%82%A3%E3%82%AB%E3%83%AB%E3%83%9B%E3%83%BC%E3%83%A0%E3%81%8F%E3%82%89%E3%82%89%E9%9D%92%E8%91%89%E5%8F%B0&waad=1mXBQ2ZW&prefix=a71145400nh&yclid=YSS.1000399934.EAIaIQobChMI67Ckv-ThlgMVAfMWBR0ZWDxWEAAYASAAEgLZ1_D_BwE&sa_p=YSA&sa_cc=1000399934&sa_t=1788966758178&sa_ra=6A
